name                                           size
               
ControllerMapJunction                          8
ControllerStatusJunction                       4            
GameStatusJunction                             8       
Gui2DJunction                                  8  
GuiAAJunction                                  8  
GuiAnimJunction                                8    
GuiBloomJunction                               8     
GuiBlurJunction                                8    
GuiButtonJunction                              8      
GuiCameraJunction                              8      
GuiCameraSequenceJunction                      8              
GuiCanvasJunction                              8      
GuiChannelJunction                             8       
GuiCoRoutineJunction                           8         
GuiCursorJunction                              4     
GuiEffectJunction                              8      
GuiFogJunction                                 8   
GuiInterfaceJunction                           8         
GuiKeyJunction                                12   
GuiLightJunction                               8     
GuiLightSetJunction                            8        
GuiLineJunction                                8    
GuiLineStripJunction                           8         
GuiListBoxControlJunction                      8              
GuiManagerJunction                             4       
GuiObjectJunction                              8      
GuiPolygonJunction                             8       
GuiQuadJunction                                8    
GuiRectJunction                                8    
GuiRegionJunction                              8      
GuiScreenJunction                              8      
GuiScrolledRectJunction                        8            
GuiSequenceJunction                            8        
GuiSequencerJunction                           8         
GuiShapeJunction                               8     
GuiSizerJunction                               8     
GuiSliderJunction                              8      
GuiSpinnerJunction                             8       
GuiTextJunction                                8    
GuiXrefJunction                                8    
MenuControllerJunction                         8           
PlayerJunction                                 8    
ProfileJunction                                8     
WFCommonJunction                               8      
WFShellScriptInterface                         4
WFWorldScriptInterface                         4
FollowPlayerCamInterface                       8 
FixedCamInterface                              8
WFCameraMgrInterface                           4
WFActorInterface                              12
WFMiiFaceInterface                            12
WFCharacterInterface                          12
DialogInterface                                4
KeyboardInterface                              4
PuzzleInterface                                4
WFAvatar                                      12
WFExpressionSet                               28
CharacterInterface                            12
ChSubSkeletonInterface                         8 
ChEdgeCollectorInterface                       8
ChEdgeInterface                                8
ChMoverInterface                               8 
ChMoverModeInterface                           8                    
ChGroundModeInterface                          8                     
ChLinkModeInterface                            8                   
ChStateInterface                               8                
ChColliderInterface                            8                   
ChVariableInterface                            8                   
ChValueInterface                               8                
ChVectorInterface                              8                 
ChProcAnimInterface                            8                   
ChYawPitchAnimInterface                        8                       
ChPointTrackerInterface                        8                       
Ch3PointIKInterface                            8                   
ChRagDollInterface                             8                  
ChChannelModifierInterface                     8                          
ChAIBaseInterface                              8                 
ChAINavigatorInterface                         8                      
ChAIBehaviorInterface                          8                     
PFloat                                         8      
PInt                                           8    
PBool                                          8     
PString                                       32
PPoint3                                       28
PYieldResult                                  20 
PHandle                                        8
PVariablePointer                               8
PColor                                        20
PPoint2                                       20
PXForm3                                        8
Invalid                                        0
PVariable                                      4 
SoundDeviceInterface                          12
ScriptSoundEffect                             16
PropertySetInterface                           8
PropertyBookInterface                         16
PackageAppInterface                           32
GestureRecognizerInterface                     4
GestureSessionManagerInterface                 4
AvatarDefInterface                             4
Avatar                                        12
PUserArraySuper                                4
PUserArrayType                                32
PUserRefSuper                                  4
PUserRefType                                  32
PUserStructType                               12
ResourceLockInterface                         12
SpeechSystemInterface                          4
ScriptSpeechRule                              28
ScriptSpeechGrammar                           28
GuiEvent                                      16
GuiKeyboardEvent                              16
GuiMouseEvent                                 20
GuiControllerEvent                            24
GuiCursorEvent                                28
GuiBalanceBoardEvent                          28 
GuiSpeechEvent                                20
GuiSystemEvent                                16
GuiCommandEvent                               20
DpadMapInterface                               8
GuiAnimatorInterface                           8
WorldScriptInterface                           4
AfterFXInterface                               4
TObjectInterface                              12
TScriptedObjectInterface                      12
TNameTableInterface                            4
ValueFieldMgrInterface                         4
ValueFieldInterface                           12
WFadeParamsInterface                          12
ValueFieldNodeInterface                       12
WLevelInterface                               12
WorldObjectInterface                          12 
WActorInterface                               12
WCoRoutineInterface                            8 
AnimSequenceInterface                          8
AnimSequencerInterface                         8
WStaticMeshInterface                          12
WSkyInterface                                 12
WTriggerInterface                             12
WSectorInterface                              12
WPortalInterface                              12
WOccluderInterface                            12
WReflectorInterface                           12
WNavNodeInterface                              8
WNavGraphInterface                            12
WSoundElementInterface                        12
WLightInterface                               12
WDynamicMoverInterface                        12
WKinematicMoverInterface                      12
WHitInfoInterface                             12   
WColliderInterface                            12    
WCollisionObjectInterface                     12           
WBodyInterface                                12
WRigidBodyInterface                           12     
WCollisionPrimitiveInterface                  12              
WCollisionMeshInterface                       12         
WShapeGhostInterface                          12      
WConstraintInterface                          12      
WHingeConstraintInterface                     12           
WConeConstraintInterface                      12          
WBallAndSocketConstraintInterface             12                   
WTransformInterface                           12     
MoverInterface                                12
ScriptedMoverInterface                        12        
WorldEffectInterface                          12      
WGuiObjectInterface                           12     
ProjectileInterface                           12     
CameraMgrInterface                             4
ScriptCamInterface                             8
TrackCamInterface                              8
ChaseCamInterface                              8
DuelCamInterface                               8
WCinematicCameraInterface                      8
WorldMessageInterface                          8
WCollisionMessageInterface                    12
WColorShifterInterface                        16
WObjectInteractionMessageInterface            12
TScriptedObjectRefSuper                        4
TScriptedObjectRefType                        32
